[06:17:08] ==== 송파구 매물 수집 시작 ====
[06:17:08] 
📍 11710101 수집 시작
[06:17:08] 11710101 전체 매물: 613
[06:17:08] 11710101 offset=0 → 20개 (누적 20)
[06:17:10] 11710101 offset=20 → 20개 (누적 40)
[06:17:12] 11710101 offset=40 → 20개 (누적 60)
[06:17:13] 11710101 offset=60 → 20개 (누적 80)
[06:17:15] 11710101 offset=80 → 20개 (누적 100)
[06:17:17] 11710101 offset=100 → 20개 (누적 120)
[06:17:18] 11710101 offset=120 → 20개 (누적 140)
[06:17:20] 11710101 offset=140 → 20개 (누적 160)
[06:17:22] 11710101 offset=160 → 20개 (누적 180)
[06:17:23] 11710101 offset=180 → 20개 (누적 200)
[06:17:25] 11710101 offset=200 → 20개 (누적 220)
[06:17:27] 11710101 offset=220 → 20개 (누적 240)
[06:17:28] 11710101 offset=240 → 20개 (누적 260)
[06:17:30] 11710101 offset=260 → 20개 (누적 280)
[06:17:32] 11710101 offset=280 → 20개 (누적 300)
[06:17:33] 11710101 offset=300 → 20개 (누적 320)
[06:17:35] 11710101 offset=320 → 20개 (누적 340)
[06:17:36] 11710101 offset=340 → 20개 (누적 360)
[06:17:38] 11710101 offset=360 → 20개 (누적 380)
[06:17:40] 11710101 offset=380 → 20개 (누적 400)
[06:17:41] 11710101 offset=400 → 20개 (누적 420)
[06:17:43] 11710101 offset=420 → 20개 (누적 440)
[06:17:45] 11710101 offset=440 → 20개 (누적 460)
[06:17:46] 11710101 offset=460 → 20개 (누적 480)
[06:17:48] 11710101 offset=480 → 20개 (누적 500)
[06:17:50] 11710101 offset=500 → 20개 (누적 520)
[06:17:51] 11710101 offset=520 → 20개 (누적 540)
[06:17:52] 11710101 offset=540 → 20개 (누적 560)
[06:17:54] 11710101 offset=560 → 20개 (누적 580)
[06:17:56] 11710101 offset=580 → 20개 (누적 600)
[06:17:57] 11710101 offset=600 → 13개 (누적 613)
[06:17:57] 
📍 11710102 수집 시작
[06:17:58] 11710102 전체 매물: 661
[06:17:58] 11710102 offset=0 → 20개 (누적 20)
[06:17:59] 11710102 offset=20 → 20개 (누적 40)
[06:18:01] 11710102 offset=40 → 20개 (누적 60)
[06:18:03] 11710102 offset=60 → 20개 (누적 80)
[06:18:04] 11710102 offset=80 → 20개 (누적 100)
[06:18:06] 11710102 offset=100 → 20개 (누적 120)
[06:18:07] 11710102 offset=120 → 20개 (누적 140)
[06:18:09] 11710102 offset=140 → 20개 (누적 160)
[06:18:10] 11710102 offset=160 → 20개 (누적 180)
[06:18:12] 11710102 offset=180 → 20개 (누적 200)
[06:18:14] 11710102 offset=200 → 20개 (누적 220)
[06:18:15] 11710102 offset=220 → 20개 (누적 240)
[06:18:16] 11710102 offset=240 → 20개 (누적 260)
[06:18:18] 11710102 offset=260 → 20개 (누적 280)
[06:18:19] 11710102 offset=280 → 20개 (누적 300)
[06:18:21] 11710102 offset=300 → 20개 (누적 320)
[06:18:22] 11710102 offset=320 → 20개 (누적 340)
[06:18:24] 11710102 offset=340 → 20개 (누적 360)
[06:18:25] 11710102 offset=360 → 20개 (누적 380)
[06:18:27] 11710102 offset=380 → 20개 (누적 400)
[06:18:28] 11710102 offset=400 → 20개 (누적 420)
[06:18:29] 11710102 offset=420 → 20개 (누적 440)
[06:18:31] 11710102 offset=440 → 20개 (누적 460)
[06:18:32] 11710102 offset=460 → 20개 (누적 480)
[06:18:34] 11710102 offset=480 → 20개 (누적 500)
[06:18:35] 11710102 offset=500 → 20개 (누적 520)
[06:18:36] 11710102 offset=520 → 20개 (누적 540)
[06:18:38] 11710102 offset=540 → 20개 (누적 560)
[06:18:39] 11710102 offset=560 → 20개 (누적 580)
[06:18:41] 11710102 offset=580 → 20개 (누적 600)
[06:18:42] 11710102 offset=600 → 20개 (누적 620)
[06:18:44] 11710102 offset=620 → 20개 (누적 640)
[06:18:45] 11710102 offset=640 → 20개 (누적 660)
[06:18:47] 11710102 offset=660 → 1개 (누적 661)
[06:18:47] 
📍 11710103 수집 시작
[06:18:47] 11710103 전체 매물: 610
[06:18:47] 11710103 offset=0 → 20개 (누적 20)
[06:18:48] 11710103 offset=20 → 20개 (누적 40)
[06:18:49] 11710103 offset=40 → 20개 (누적 60)
[06:18:51] 11710103 offset=60 → 20개 (누적 80)
[06:18:52] 11710103 offset=80 → 20개 (누적 100)
[06:18:54] 11710103 offset=100 → 20개 (누적 120)
[06:18:55] 11710103 offset=120 → 20개 (누적 140)
[06:18:56] 11710103 offset=140 → 20개 (누적 160)
[06:18:58] 11710103 offset=160 → 20개 (누적 180)
[06:18:59] 11710103 offset=180 → 20개 (누적 200)
[06:19:01] 11710103 offset=200 → 20개 (누적 220)
[06:19:02] 11710103 offset=220 → 20개 (누적 240)
[06:19:03] 11710103 offset=240 → 20개 (누적 260)
[06:19:05] 11710103 offset=260 → 20개 (누적 280)
[06:19:06] 11710103 offset=280 → 20개 (누적 300)
[06:19:08] 11710103 offset=300 → 20개 (누적 320)
[06:19:09] 11710103 offset=320 → 20개 (누적 340)
[06:19:11] 11710103 offset=340 → 20개 (누적 360)
[06:19:12] 11710103 offset=360 → 20개 (누적 380)
[06:19:13] 11710103 offset=380 → 20개 (누적 400)
[06:19:15] 11710103 offset=400 → 20개 (누적 420)
[06:19:16] 11710103 offset=420 → 20개 (누적 440)
[06:19:18] 11710103 offset=440 → 20개 (누적 460)
[06:19:19] 11710103 offset=460 → 20개 (누적 480)
[06:19:21] 11710103 offset=480 → 20개 (누적 500)
[06:19:22] 11710103 offset=500 → 20개 (누적 520)
[06:19:23] 11710103 offset=520 → 20개 (누적 540)
[06:19:25] 11710103 offset=540 → 20개 (누적 560)
[06:19:26] 11710103 offset=560 → 20개 (누적 580)
[06:19:28] 11710103 offset=580 → 20개 (누적 600)
[06:19:29] 11710103 offset=600 → 10개 (누적 610)
[06:19:29] 
📍 11710104 수집 시작
[06:19:30] 11710104 전체 매물: 831
[06:19:30] 11710104 offset=0 → 20개 (누적 20)
[06:19:31] 11710104 offset=20 → 20개 (누적 40)
[06:19:33] 11710104 offset=40 → 20개 (누적 60)
[06:19:34] 11710104 offset=60 → 20개 (누적 80)
[06:19:36] 11710104 offset=80 → 20개 (누적 100)
[06:19:37] 11710104 offset=100 → 20개 (누적 120)
[06:19:38] 11710104 offset=120 → 20개 (누적 140)
[06:19:39] 11710104 offset=140 → 20개 (누적 160)
[06:19:41] 11710104 offset=160 → 20개 (누적 180)
[06:19:42] 11710104 offset=180 → 20개 (누적 200)
[06:19:44] 11710104 offset=200 → 20개 (누적 220)
[06:19:45] 11710104 offset=220 → 20개 (누적 240)
[06:19:47] 11710104 offset=240 → 20개 (누적 260)
[06:19:48] 11710104 offset=260 → 20개 (누적 280)
[06:19:50] 11710104 offset=280 → 20개 (누적 300)
