수집시간,단지명,구,동,거래유형,층,면적(m2),평,보증금,월세,가격(억),타입,방향,매물ID,URL
2026-03-27 06:25:37,가락금호,송파구,가락동,매매,7,59.91,18.12,187000,0,18.7,25A,,221924,https://www.zigbang.com/home/apt/items/221924
2026-03-27 06:25:37,가락스타클래스,송파구,가락동,매매,저,84.97,25.7,150000,0,15.0,33C,,48471361,https://www.zigbang.com/home/apt/items/48471361
2026-03-27 06:25:37,가락스타클래스,송파구,가락동,매매,고,84.93,25.69,170000,0,17.0,33B,,48471363,https://www.zigbang.com/home/apt/items/48471363
2026-03-27 06:25:37,가락스타클래스,송파구,가락동,매매,고,115.94,35.07,195000,0,19.5,45,,48471374,https://www.zigbang.com/home/apt/items/48471374
2026-03-27 06:25:37,가락쌍용1차,송파구,가락동,매매,중,59.92,18.13,180000,0,18.0,25,,48270883,https://www.zigbang.com/home/apt/items/48270883
2026-03-27 06:25:37,가락쌍용1차,송파구,가락동,매매,고,84.69,25.62,210000,0,21.0,33,,48271000,https://www.zigbang.com/home/apt/items/48271000
2026-03-27 06:25:37,가락쌍용1차,송파구,가락동,매매,2,84.69,25.62,240000,0,24.0,33,,207005,https://www.zigbang.com/home/apt/items/207005
2026-03-27 06:25:37,가락쌍용1차,송파구,가락동,매매,1,84.69,25.62,240000,0,24.0,33,,192136,https://www.zigbang.com/home/apt/items/192136
2026-03-27 06:25:37,가락쌍용1차,송파구,가락동,매매,16,84.69,25.62,250000,0,25.0,33,,195317,https://www.zigbang.com/home/apt/items/195317
2026-03-27 06:25:37,더샵송파루미스타,송파구,가락동,월세,9,84.9856,25.71,50000,280,5.0,34A,,48141811,https://www.zigbang.com/home/apt/items/48141811
2026-03-27 06:25:37,더샵송파루미스타,송파구,가락동,전세,저,59.9523,18.14,83000,0,8.3,24,,47908353,https://www.zigbang.com/home/apt/items/47908353
2026-03-27 06:25:37,더샵송파루미스타,송파구,가락동,전세,저,74.9753,22.68,100000,0,10.0,30,,48471160,https://www.zigbang.com/home/apt/items/48471160
2026-03-27 06:25:37,더샵송파루미스타,송파구,가락동,전세,15,84.9273,25.69,105000,0,10.5,34C,,48081799,https://www.zigbang.com/home/apt/items/48081799
2026-03-27 06:25:37,더샵송파루미스타,송파구,가락동,전세,중,74.9753,22.68,109000,0,10.9,30,,47908414,https://www.zigbang.com/home/apt/items/47908414
2026-03-27 06:25:37,더샵송파루미스타,송파구,가락동,전세,고,84.9856,25.71,110000,0,11.0,34A,,48471168,https://www.zigbang.com/home/apt/items/48471168
2026-03-27 06:25:37,더샵송파루미스타,송파구,가락동,전세,중,84.9856,25.71,120000,0,12.0,34A,,48141770,https://www.zigbang.com/home/apt/items/48141770
2026-03-27 06:25:37,더샵송파루미스타,송파구,가락동,전세,14,99.9989,30.25,140000,0,14.0,40,,48471187,https://www.zigbang.com/home/apt/items/48471187
2026-03-27 06:25:37,래미안파크팰리스,송파구,가락동,전세,11,114.75,34.71,130000,0,13.0,43,,48227216,https://www.zigbang.com/home/apt/items/48227216
